"Rank","City","Traffic Index","Time Index(in minutes)","Time Exp. Index","Inefficiency Index","CO2 Emission Index"
"1","Lagos, Nigeria","348.5","68.3","28073.9","395.7","8615.2"
"2","San Jose, Costa Rica","327.6","63.3","20163.8","345.2","10764.3"
"3","Los Angeles, CA, United States","314.1","57.1","12461.2","681.8","14244.0"
"4","Sharjah, United Arab Emirates","302.8","57.2","12605.2","367.2","13025.1"
"5","Colombo, Sri Lanka","290.3","59.3","14961.0","392.6","7899.3"
"6","Delhi, India","284.1","57.4","12855.8","313.0","9134.7"
"7","Dhaka, Bangladesh","278.3","60.2","16040.4","335.0","5351.3"
"8","Kolkata, India","269.3","59.4","15140.5","286.0","4880.9"
"9","Mexico City, Mexico","259.4","52.7","8399.0","346.8","9292.9"
"10","Mumbai, India","259.1","55.2","10555.9","274.0","7172.7"
"11","Jakarta, Indonesia","258.0","53.5","9099.6","288.4","8486.2"
"12","Guatemala City, Guatemala","255.1","49.2","5793.4","278.0","12808.3"
"13","Bangalore, India","253.0","53.6","9149.9","292.1","7502.8"
"14","Tehran, Iran","251.7","52.9","8536.9","263.3","8127.5"
"15","Nairobi, Kenya","250.9","53.2","8826.3","279.4","7568.2"
"16","San Francisco, CA, United States","242.0","49.0","5686.0","555.7","8836.0"
"17","Cairo, Egypt","240.9","49.6","6115.1","289.7","9233.5"
"18","Sao Paulo, Brazil","238.9","51.2","7193.5","285.4","7398.9"
"19","Lima, Peru","234.8","51.2","7226.1","274.6","6722.6"
"20","Istanbul, Turkey","233.8","50.7","6833.2","250.9","7159.6"
"21","Manila, Philippines","233.6","50.7","6877.9","260.5","7019.5"
"22","Rio de Janeiro, Brazil","230.0","51.2","7191.6","241.1","6168.2"
"24","Bogota, Colombia","223.7","51.4","7392.7","230.4","5051.1"
"26","Detroit, MI, United States","217.6","43.7","2891.8","330.7","10398.6"
"29","Moscow, Russia","214.3","50.5","6685.2","220.8","4523.4"
"30","Boston, MA, United States","213.1","45.0","3461.9","266.1","8652.5"
"31","Miami, FL, United States","212.0","42.9","2603.4","233.4","10566.0"
"32","Buenos Aires, Argentina","210.8","49.9","6300.5","220.4","4437.6"
"34","Alexandria, Egypt","209.1","46.3","4131.8","268.3","6752.8"
"35","Saint Petersburg, Russia","208.7","49.1","5756.3","192.1","4881.9"
"36","Cape Town, South Africa","207.9","42.4","2384.8","247.8","10196.5"
"37","Houston, TX, United States","206.3","41.8","2194.7","250.7","10353.4"
"39","Bangkok, Thailand","204.2","44.4","3222.3","256.5","7567.1"
"40","Perth, Australia","200.7","42.9","2594.1","314.3","7947.5"
"42","Seattle, WA, United States","199.3","42.9","2588.3","249.6","8050.5"
"43","Atlanta, GA, United States","199.0","41.3","2015.6","232.4","9524.8"
"44","Austin, TX, United States","198.8","40.5","1753.1","322.5","9694.2"
"46","Honolulu, HI, United States","197.4","40.4","1729.5","215.6","10137.5"
"47","Chennai, India","196.8","46.5","4240.4","230.0","4896.1"
"48","Jaipur, India","196.5","42.1","2281.0","247.3","8275.2"
"49","Naples, Italy","195.6","43.8","2967.6","216.3","6813.8"
"50","Toronto, Canada","195.3","43.9","2983.8","246.6","6579.8"
"51","Bandung, Indonesia","194.5","42.9","2576.2","243.7","7263.5"
"52","Brisbane, Australia","194.2","42.7","2511.6","273.1","7194.4"
"53","Kuala Lumpur, Malaysia","193.4","41.6","2118.3","205.6","8350.7"
"55","Pune, India","192.4","44.2","3111.4","223.0","6014.3"
"57","Sydney, Australia","191.8","43.5","2811.3","284.9","6150.8"
"58","Raleigh, NC, United States","190.3","39.8","1559.5","269.3","8949.1"
"59","Guadalajara, Mexico","189.4","41.6","2117.1","199.6","7686.6"
"60","Chicago, IL, United States","188.8","41.7","2151.6","208.6","7447.0"
"61","Amman, Jordan","188.8","40.6","1798.7","212.4","8316.2"
"62","Beirut, Lebanon","188.6","39.3","1413.1","219.8","9391.8"
"63","Brooklyn, NY, United States","188.5","46.9","4428.7","215.3","3653.8"
"64","Karachi, Pakistan","187.8","42.1","2280.3","219.1","6922.9"
"65","Melbourne, Australia","187.3","42.0","2263.9","234.6","6779.1"
"67","Orlando, FL, United States","186.0","37.8","1057.8","262.3","9903.8"
"68","Tampa, FL, United States","184.3","38.0","1104.6","237.7","9540.8"
"70","Quito, Ecuador","184.1","41.0","1916.6","208.6","7205.7"
"71","San Jose, CA, United States","183.3","38.3","1173.4","209.2","9269.3"
"72","Nashville, TN, United States","183.2","38.4","1187.4","207.5","9219.6"
"74","Casablanca, Morocco","181.0","44.0","3036.4","180.1","4688.6"
"75","Philadelphia, PA, United States","179.8","39.7","1538.3","267.9","7143.0"
"76","Beijing, China","178.9","43.0","2634.7","188.1","5012.6"
"78","Hyderabad, India","178.1","42.2","2331.2","206.9","5363.9"
"79","Shanghai, China","176.0","45.1","3554.5","216.8","3197.8"
"81","Pittsburgh, PA, United States","174.6","37.7","1041.8","243.1","7923.0"
"83","Wellington, New Zealand","173.6","39.4","1442.6","269.7","6373.0"
"84","San Antonio, TX, United States","173.0","36.7","840.0","272.1","8254.4"
"85","Portland, OR, United States","172.9","37.4","967.1","250.4","7859.4"
"88","Adelaide, Australia","169.8","38.2","1147.3","275.8","6580.3"
"89","Vancouver, WA, United States","169.6","36.8","856.5","246.3","7715.3"
"90","Dubai, United Arab Emirates","169.4","36.3","759.6","248.9","8055.6"
"92","Dallas, TX, United States","168.7","35.3","607.2","218.8","8817.9"
"93","Jacksonville, FL, United States","168.6","34.9","542.3","260.6","8885.3"
"94","Hobart, Australia","168.4","37.1","909.1","361.1","6758.8"
"95","Montreal, Canada","168.3","40.1","1656.1","184.1","5460.2"
"96","Minneapolis, MN, United States","168.0","36.5","794.0","232.3","7768.8"
"98","Denver, CO, United States","167.4","35.5","636.4","219.5","8426.0"
"100","Gurgaon, India","167.0","37.0","891.5","227.5","7243.9"
"101","New York, NY, United States","166.5","43.3","2762.6","188.9","3229.1"
"102","Cambridge, United Kingdom","166.4","39.5","1465.8","232.4","5387.9"
"104","Bucharest, Romania","166.0","41.0","1925.4","154.2","4713.6"
"106","Auckland, New Zealand","164.4","37.4","978.4","198.1","6659.6"
"107","Antwerp, Belgium","164.3","38.8","1296.1","210.9","5623.9"
"108","Izmir, Turkey","163.2","39.9","1595.5","189.2","4839.9"
"109","San Diego, CA, United States","162.1","34.9","545.8","224.0","7897.9"
"110","Cebu, Philippines","161.7","36.0","705.7","230.0","7065.1"
"112","Bern, Switzerland","161.6","38.8","1291.7","290.9","4870.7"
"113","Islamabad, Pakistan","161.2","35.9","697.8","212.6","7098.5"
"114","Riyadh, Saudi Arabia","160.6","34.0","429.7","208.7","8362.5"
"116","Montevideo, Uruguay","159.7","41.0","1906.3","170.2","3843.0"
"117","Dublin, Ireland","159.5","40.4","1733.3","183.2","4092.3"
"118","Oakland, CA, United States","159.5","36.5","795.2","218.4","6412.6"
"119","London, United Kingdom","158.9","44.7","3351.5","171.2","1870.0"
"121","Manchester, United Kingdom","157.9","39.0","1355.4","171.1","4750.3"
"125","San Juan, Puerto Rico","156.8","33.8","408.1","172.1","8036.8"
"127","Ahmedabad, India","155.3","39.9","1576.4","181.2","3880.3"
"129","Tunis, Tunisia","153.8","37.0","903.6","159.0","5494.3"
"131","Phoenix, AZ, United States","152.7","32.7","293.8","169.2","8072.0"
"132","Medellin, Colombia","152.6","37.8","1051.6","158.0","4878.5"
"135","Oklahoma City, OK, United States","151.5","32.1","239.6","269.0","7665.5"
"140","Kansas City, MO, United States","150.0","32.6","278.2","214.1","7410.9"
"141","Belfast, United Kingdom","149.6","37.3","949.4","164.8","4718.1"
"142","Paris, France","149.5","41.1","1949.6","148.8","2710.6"
"144","Almaty, Kazakhstan","147.3","38.2","1151.8","164.0","3888.0"
"145","Tokyo, Japan","147.1","42.7","2525.1","184.6","1645.7"
"147","Vancouver, Canada","147.0","35.9","699.3","166.5","5143.3"
